order_id,order_date,region,customer_id,product_id,quantity,unit_price,sales_rep
ORD-1085,14 04 2026,South,C034,P114,1,120,Ben
ORD-1086,14 04 2026,North,C030,P104,4,300,Cara
ORD-1087,14 04 2026,West,C033,P113,5,75,Ben
ORD-1088,14 04 2026,West,C029,P108,2,300,Cara
ORD-1089,14 04 2026,West,C016,P108,4,19.99,Cara
ORD-1090,14 04 2026,South,C018,P110,3,120,Ana
ORD-1005,14 04 2026,South,C010,P107,1,100,Dan
ORD-1010,14 04 2026,South,C014,P102,1,100,Dan
ORD-2001,14 04 2026,North,C999,P999,-2,50,Ana
ORD-2002,14 04 2026,South,C998,P998,3,-10,Ben
ORD-2003,14 04 2026,East,C997,P997,0,75,Cara
ORD-2004,14 04 2026,West,C996,P996,2,0,Dan
,14 04 2026,North,C995,P995,2,50,Ana
ORD-2005,14 04 2026,,C994,P994,1,90,Ben
ORD-2006,14 04 2026,South,,P993,4,15,Cara
ORD-2007,14 04 2026,East,C993,P992,,25,Dan
